Week,"The whole message, ready to paste"
22,"Week 22.

The best summer you can remember. Who were you with, and what did you do all day?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
23,"Week 23.

What was the country like then? What's changed most — and what do you miss?

4–5 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
24,"Week 24.

Did you ever get into real trouble? What happened?

2–3 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
25,"Week 25.

When did you first feel like a grown man? Was it a job, a death, a child, or something small?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
26,"Week 26.

How you met the person you married. What was the first thing you noticed about them?

4–5 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
27,"Week 27.

The wedding day. What went wrong, and what do you remember of their face?

4–5 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
28,"Week 28.

The first place you lived together. What did you have, and what did you go without?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
29,"Week 29.

The day each of your children was born — one at a time. What frightened you most in that first month?

5–6 minutes, or split it in two is plenty. Film it on your phone and send it back here — don't worry about how it looks."
30,"Week 30.

What kind of father did you try to be? The same as your own, or deliberately different?

4–5 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
31,"Week 31.

The work you did. Take me through a normal Tuesday, start to finish.

4–5 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
32,"Week 32.

The thing you made or built that you're proudest of. Is any of it still standing?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
33,"Week 33.

Someone you worked with who you'll never forget — for the right reasons or the wrong ones.

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
34,"Week 34.

Holidays. Where did you go, and what went wrong?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
35,"Week 35.

Was there ever enough money? What did you go without that we never knew about?

4–5 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
36,"Week 36.

A street, a shop or a pub that was part of your life. Who was behind the counter?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
37,"Week 37.

What did you do that was just yours — nothing to do with work or family?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
38,"Week 38.

An illness, an accident, or a close call. Who got you through it?

4–5 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
39,"Week 39.

The hardest year of your life. Who turned up for you, and who didn't?

5–6 minutes, or split it in two is plenty. Film it on your phone and send it back here — don't worry about how it looks."
40,"Week 40.

Someone you lost. What would you say to them now, if they were sitting here?

4–5 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
41,"Week 41.

What have you changed your mind about? What did you believe at thirty that you don't now?

4–5 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
42,"Week 42.

What do you believe that you can't prove?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
43,"Week 43.

Is there anything you'd do differently? Only if you want to say it.

4–5 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
44,"Week 44.

The best decision you ever made. Did you know it at the time?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
45,"Week 45.

The luckiest thing that ever happened to you. The near-misses count too.

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
46,"Week 46.

What do you know now that you wish you'd known at twenty-five?

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
47,"Week 47.

What's the point of it all, as far as you can tell?

4–5 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
48,"Week 48.

Getting older — what's better than people say, and what's worse?

4–5 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
49,"Week 49.

What do you want your grandchildren to know about you? Talk to them directly, by name.

4–5 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
50,"Week 50.

What should happen to your things? Which ones matter, and who should have them?

4–5 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
51,"Week 51.

Tell me something nobody in the family knows.

3–4 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
52,"Week 52.

What would you say to whoever watches this in fifty years? What should they do on your birthday?

4–5 minutes is plenty. Film it on your phone and send it back here — don't worry about how it looks."
