Week,Season,Send exactly this,Aim for,If they dry up,Difficulty,Mins (for totals)
21,Becoming yourself,Something you did that your parents never found out about. It stays in the family.,2–3 minutes,"Would you tell them now, if you could?",Medium,3
22,Becoming yourself,"The best summer you can remember. Who were you with, and what did you do all day?",3–4 minutes,"What year was it, roughly? What did it cost?",Easy,4
23,Becoming yourself,What was the country like then? What's changed most — and what do you miss?,4–5 minutes,"Prices, manners, work, neighbours, safety.",Medium,5
24,Becoming yourself,Did you ever get into real trouble? What happened?,2–3 minutes,"Police, school, work, family — any of it.",Medium,3
25,Becoming yourself,"When did you first feel like a grown man? Was it a job, a death, a child, or something small?",3–4 minutes,Did anybody treat you differently afterwards?,Medium,4
26,Becoming yourself,How you met the person you married. What was the first thing you noticed about them?,4–5 minutes,What did your family make of them? When did you decide?,Easy,5
27,The life you built,"The wedding day. What went wrong, and what do you remember of their face?",4–5 minutes,"Who was there, what did it cost, where did you go afterwards?",Easy,5
28,The life you built,"The first place you lived together. What did you have, and what did you go without?",3–4 minutes,What was the rent? What was the neighbour like?,Easy,4
29,The life you built,The day each of your children was born — one at a time. What frightened you most in that first month?,"5–6 minutes, or split it in two",Where were you? Who did they look like?,Medium,6
30,The life you built,"What kind of father did you try to be? The same as your own, or deliberately different?",4–5 minutes,"What did you get right, and what would you take back?",Hard,5
31,The life you built,"The work you did. Take me through a normal Tuesday, start to finish.",4–5 minutes,What time did you leave? Who did you travel with? What did you eat?,Easy,5
32,The life you built,The thing you made or built that you're proudest of. Is any of it still standing?,3–4 minutes,What did it cost you at home?,Medium,4
33,The life you built,Someone you worked with who you'll never forget — for the right reasons or the wrong ones.,3–4 minutes,What did they teach you?,Medium,4
34,The life you built,"Holidays. Where did you go, and what went wrong?",3–4 minutes,"The car, the ferry, the weather, the hotel.",Easy,4
35,The life you built,Was there ever enough money? What did you go without that we never knew about?,4–5 minutes,Was there a year that was worse than the others?,Hard,5
36,The life you built,"A street, a shop or a pub that was part of your life. Who was behind the counter?",3–4 minutes,Is it still there? When were you last past it?,Easy,4
37,The life you built,What did you do that was just yours — nothing to do with work or family?,3–4 minutes,Did anybody else know about it?,Easy,4
38,The life you built,"An illness, an accident, or a close call. Who got you through it?",4–5 minutes,What do you actually remember of it?,Hard,5
39,The life you built,"The hardest year of your life. Who turned up for you, and who didn't?","5–6 minutes, or split it in two",What got you out of bed? What would you say now to yourself in that year?,Hard,6
40,Looking back,"Someone you lost. What would you say to them now, if they were sitting here?",4–5 minutes,Take your time with this one.,Hard,5
41,Looking back,What have you changed your mind about? What did you believe at thirty that you don't now?,4–5 minutes,"What changed it — a person, an event, or just time?",Medium,5
42,Looking back,What do you believe that you can't prove?,3–4 minutes,"God, luck, fate, people. Whatever it is.",Hard,4
43,Looking back,Is there anything you'd do differently? Only if you want to say it.,4–5 minutes,Nothing has to be said. Skip it if you'd rather.,Hard,5
44,Looking back,The best decision you ever made. Did you know it at the time?,3–4 minutes,"Who talked you into it, or out of it?",Medium,4
45,Looking back,The luckiest thing that ever happened to you. The near-misses count too.,3–4 minutes,Do you think of yourself as a lucky man?,Easy,4
46,Looking back,What do you know now that you wish you'd known at twenty-five?,3–4 minutes,Would you have listened?,Medium,4
47,Looking back,"What's the point of it all, as far as you can tell?",4–5 minutes,There's no right answer. Say what you actually think.,Hard,5
48,Looking back,"Getting older — what's better than people say, and what's worse?",4–5 minutes,What surprised you about it?,Medium,5
49,Looking back,"What do you want your grandchildren to know about you? Talk to them directly, by name.",4–5 minutes,What would you want them to do that you didn't?,Medium,5
50,Looking back,"What should happen to your things? Which ones matter, and who should have them?",4–5 minutes,"The watch, the photographs, the tools, the papers.",Hard,5
51,Looking back,Tell me something nobody in the family knows.,3–4 minutes,Entirely up to you.,Hard,4
52,Looking back,What would you say to whoever watches this in fifty years? What should they do on your birthday?,4–5 minutes,Who do you imagine is watching?,Medium,5
